Date,Stock,Open,High,Low,Close,Volume
4/3/2023,AAPL,164.2700043,166.2899933,164.2200012,166.1699982,56976200
4/4/2023,AAPL,166.6000061,166.8399963,165.1100006,165.6300049,46278300
4/5/2023,AAPL,164.7400055,165.0500031,161.8000031,163.7599945,51511700
4/6/2023,AAPL,162.4299927,164.9600067,162,164.6600037,45390100
4/10/2023,AAPL,161.4199982,162.0299988,160.0800018,162.0299988,47716900
4/11/2023,AAPL,162.3500061,162.3600006,160.5099945,160.8000031,47644200
4/12/2023,AAPL,161.2200012,162.0599976,159.7799988,160.1000061,50133100
4/13/2023,AAPL,161.6300049,165.8000031,161.4199982,165.5599976,68445600
4/14/2023,AAPL,164.5899963,166.3200073,163.8200073,165.2100067,49386500
4/17/2023,AAPL,165.0899963,165.3899994,164.0299988,165.2299957,41516200
4/18/2023,AAPL,166.1000061,167.4100037,165.6499939,166.4700012,49923000
4/19/2023,AAPL,165.8000031,168.1600037,165.5399933,167.6300049,47720200
4/20/2023,AAPL,166.0899963,167.8699951,165.5599976,166.6499939,52456400
4/21/2023,AAPL,165.0500031,166.4499969,164.4900055,165.0200043,58337300
4/24/2023,AAPL,165,165.6000061,163.8899994,165.3300018,41949600
4/25/2023,AAPL,165.1900024,166.3099976,163.7299957,163.7700043,48714100
4/26/2023,AAPL,163.0599976,165.2799988,162.8000031,163.7599945,45498800
4/27/2023,AAPL,165.1900024,168.5599976,165.1900024,168.4100037,64902300
4/28/2023,AAPL,168.4900055,169.8500061,167.8800049,169.6799927,55209200
5/1/2023,AAPL,169.2799988,170.4499969,168.6399994,169.5899963,52472900
5/2/2023,AAPL,170.0899963,170.3500061,167.5399933,168.5399933,48425700
5/3/2023,AAPL,169.5,170.9199982,167.1600037,167.4499969,65136000
5/4/2023,AAPL,164.8899994,167.0399933,164.3099976,165.7899933,81235400
5/5/2023,AAPL,170.9799957,174.3000031,170.7599945,173.5700073,113316400
5/8/2023,AAPL,172.4799957,173.8500061,172.1100006,173.5,55962800
5/9/2023,AAPL,173.0500031,173.5399933,171.6000061,171.7700043,45326900
5/10/2023,AAPL,173.0200043,174.0299988,171.8999939,173.5599976,53724500
5/11/2023,AAPL,173.8500061,174.5899963,172.1699982,173.75,49514700
5/12/2023,AAPL,173.6199951,174.0599976,171,172.5700073,45497800
5/15/2023,AAPL,173.1600037,173.2100067,171.4700012,172.0700073,37266700
5/16/2023,AAPL,171.9900055,173.1399994,171.8000031,172.0700073,42110300
5/17/2023,AAPL,171.7100067,172.9299927,170.4199982,172.6900024,57951600
5/18/2023,AAPL,173,175.2400055,172.5800018,175.0500031,65496700
5/19/2023,AAPL,176.3899994,176.3899994,174.9400024,175.1600037,55772400
5/22/2023,AAPL,173.9799957,174.7100067,173.4499969,174.1999969,43570900
5/23/2023,AAPL,173.1300049,173.3800049,171.2799988,171.5599976,50747300
5/24/2023,AAPL,171.0899963,172.4199982,170.5200043,171.8399963,45143500
5/25/2023,AAPL,172.4100037,173.8999939,171.6900024,172.9900055,56058300
5/26/2023,AAPL,173.3200073,175.7700043,173.1100006,175.4299927,54835000
5/30/2023,AAPL,176.9600067,178.9900055,176.5700073,177.3000031,55964400
5/31/2023,AAPL,177.3300018,179.3500061,176.7599945,177.25,99625300
4/3/2023,GOOGL,102.3899994,104.5299988,101.9300003,104.3600006,25035400
4/4/2023,GOOGL,104.3300018,105.5800018,104.0400009,104.7200012,24420100
4/5/2023,GOOGL,105.7799988,106.0999985,103.6600037,104.4700012,28290500
4/6/2023,GOOGL,105.2600021,109.1699982,104.3300018,108.4199982,48711500
4/10/2023,GOOGL,106.9800034,107.5899963,105.1200027,106.4400024,27067400
4/11/2023,GOOGL,106.5500031,106.7300034,104.6800003,105.3499985,26311800
4/12/2023,GOOGL,106.5800018,106.75,104.3399963,104.6399994,24370300
4/13/2023,GOOGL,105.8399963,107.4899979,105.8399963,107.4300003,24843600
4/14/2023,GOOGL,106.8899994,108.9400024,106.8399963,108.8700027,26578000
4/17/2023,GOOGL,104.6600037,106.1600037,104.5199966,105.9700012,37571200
4/18/2023,GOOGL,106.4899979,106.5400009,104.0699997,104.5,26596400
4/19/2023,GOOGL,103.5800018,104.9800034,103.0699997,104.1800003,20905700
4/20/2023,GOOGL,103.9100037,106.25,103.8700027,105.2900009,27820800
4/21/2023,GOOGL,105.4700012,106,104.7799988,105.4100037,25800100
4/24/2023,GOOGL,105.4899979,106.6299973,104.6999969,105.9700012,23542800
4/25/2023,GOOGL,105.8300018,106.6900024,103.8399963,103.8499985,46664100
4/26/2023,GOOGL,104.9199982,106.3499985,102.6299973,103.7099991,53347600
4/27/2023,GOOGL,104.4499969,108.3700027,103.5400009,107.5899963,50089200
4/28/2023,GOOGL,107.0400009,107.3499985,105.0899963,107.3399963,36139800
5/1/2023,GOOGL,106.8399963,107.9899979,106.8199997,107.1999969,26681700
5/2/2023,GOOGL,107.1399994,107.1999969,103.7099991,105.3199997,30997200
5/3/2023,GOOGL,105.5299988,107.4899979,104.9599991,105.4100037,21795400
5/4/2023,GOOGL,105.4899979,105.5999985,103.9700012,104.6900024,23419500
5/5/2023,GOOGL,104.8199997,105.8799973,104.1100006,105.5699997,26625100
5/8/2023,GOOGL,105.1800003,107.9599991,105.1600037,107.7699966,26511400
5/9/2023,GOOGL,108.3899994,110.1500015,107.1900024,107.3499985,36360100
5/10/2023,GOOGL,107.9700012,112.9400024,107.9300003,111.75,63153400
5/11/2023,GOOGL,115.4000015,117.9199982,114.4100037,116.5699997,78900000
5/12/2023,GOOGL,116.6800003,118.0299988,116.1100006,117.5100021,41073800
5/15/2023,GOOGL,116.1100006,118.4800034,116.0100021,116.5100021,36266800
5/16/2023,GOOGL,116.4899979,120.75,116.4300003,119.5100021,45035600
5/17/2023,GOOGL,119.6100006,121.6699982,118.8899994,120.8399963,33323600
5/18/2023,GOOGL,120.9499969,123.3099976,120.8300018,122.8300018,35234200
5/19/2023,GOOGL,123.5500031,125.9700012,122.1500015,122.7600021,41330300
5/22/2023,GOOGL,122.9400024,126.4300003,122.7399979,125.0500031,35253000
5/23/2023,GOOGL,124.1600037,124.6299973,122.2099991,122.5599976,34046300
5/24/2023,GOOGL,121.1200027,121.9100037,119.8600006,120.9000015,34182600
5/25/2023,GOOGL,124.5199966,125.3199997,121.9599991,123.4800034,42317000
5/26/2023,GOOGL,123.1699982,125.2600021,122.4499969,124.6100006,35635900
5/30/2023,GOOGL,125.6399994,125.6600037,122,123.6699982,35076700
5/31/2023,GOOGL,122.75,124.0599976,122.5,122.8700027,37325800
4/3/2023,MSFT,286.519989,288.269989,283.9500122,287.230011,24883300
4/4/2023,MSFT,287.230011,290.4500122,285.6700134,287.1799927,25824300
4/5/2023,MSFT,285.8500061,287.1499939,282.9200134,284.3399963,22064800
4/6/2023,MSFT,283.2099915,292.0799866,282.0299988,291.6000061,29770300
4/10/2023,MSFT,289.2099915,289.6000061,284.7099915,289.3900146,23103000
4/11/2023,MSFT,285.75,285.980011,281.6400146,282.8299866,27276600
4/12/2023,MSFT,284.7900085,287.0100098,281.9599915,283.4899902,27403400
4/13/2023,MSFT,283.5899963,289.8999939,283.1700134,289.8399963,24222700
4/14/2023,MSFT,287,288.480011,283.6900024,286.1400146,20987900
4/17/2023,MSFT,289.9299927,291.6000061,286.1600037,288.7999878,23836200
4/18/2023,MSFT,291.5700073,291.7600098,287.0100098,288.3699951,20161800
4/19/2023,MSFT,285.9899902,289.0499878,284.5400085,288.4500122,17150300
4/20/2023,MSFT,285.25,289.0299988,285.0799866,286.1099854,23244400
4/21/2023,MSFT,285.0100098,286.269989,283.0599976,285.7600098,21676400
4/24/2023,MSFT,282.0899963,284.9500122,278.7200012,281.769989,26611000
4/25/2023,MSFT,279.5100098,281.6000061,275.3699951,275.4200134,45772200
4/26/2023,MSFT,296.7000122,299.5700073,292.730011,295.3699951,64599200
4/27/2023,MSFT,295.9700012,305.2000122,295.25,304.8299866,46462600
4/28/2023,MSFT,304.0100098,308.9299927,303.3099976,307.2600098,36446700
5/1/2023,MSFT,306.9700012,308.6000061,305.1499939,305.5599976,21294100
5/2/2023,MSFT,307.7600098,309.1799927,303.9100037,305.4100037,26404400
5/3/2023,MSFT,306.6199951,308.6099854,304.0899963,304.3999939,22360800
5/4/2023,MSFT,306.2399902,307.7600098,303.3999939,305.4100037,22519900
5/5/2023,MSFT,305.7200012,311.9700012,304.269989,310.6499939,28181200
5/8/2023,MSFT,310.1300049,310.2000122,306.0899963,308.6499939,21318600
5/9/2023,MSFT,308,310.0400085,306.3099976,307,21340800
5/10/2023,MSFT,308.6199951,313,307.6700134,312.3099976,30078000
5/11/2023,MSFT,310.1000061,311.1199951,306.2600098,310.1099854,31680200
5/12/2023,MSFT,310.5499878,310.6499939,306.6000061,308.9700012,19758100
5/15/2023,MSFT,309.1000061,309.8999939,307.5899963,309.4599915,16336500
5/16/2023,MSFT,309.8299866,313.7099915,309.8299866,311.7399902,26730300
5/17/2023,MSFT,312.2900085,314.4299927,310.7399902,314,24315000
5/18/2023,MSFT,314.5299988,319.0400085,313.7200012,318.519989,27276000
5/19/2023,MSFT,316.7399902,318.75,316.3699951,318.3399963,27529500
5/22/2023,MSFT,318.6000061,322.5899963,318.0100098,321.1799927,24115700
5/23/2023,MSFT,320.0299988,322.7200012,315.25,315.2600098,30797200
5/24/2023,MSFT,314.730011,316.5,312.6099854,313.8500061,23384900
5/25/2023,MSFT,323.2399902,326.8999939,320,325.9200134,43301700
5/26/2023,MSFT,324.019989,333.3999939,323.8800049,332.8900146,36630600
5/30/2023,MSFT,335.230011,335.7399902,330.519989,331.2099915,29503100
5/31/2023,MSFT,332.2900085,335.9400024,327.3299866,328.3900146,45950600
5/31/2023,AAPL,177.3300018,179.3500061,176.7599945,177.25,99625300
6/1/2023,AAPL,177.6999969,180.1199951,176.9299927,180.0899963,68901800
6/2/2023,AAPL,181.0299988,181.7799988,179.2599945,180.9499969,61945900
6/5/2023,AAPL,182.6300049,184.9499969,178.0399933,179.5800018,121946500
6/6/2023,AAPL,179.9700012,180.1199951,177.4299927,179.2100067,64848400
6/7/2023,AAPL,178.4400024,181.2100067,177.3200073,177.8200073,61944600
6/8/2023,AAPL,177.8999939,180.8399963,177.4600067,180.5700073,50214900
6/9/2023,AAPL,181.5,182.2299957,180.6300049,180.9600067,48870700
5/31/2023,GOOGL,122.75,124.0599976,122.5,122.8700027,37325800
6/1/2023,GOOGL,122.8199997,124.4199982,122.6200027,123.7200012,30772700
6/2/2023,GOOGL,123.9899979,126.1500015,123.7600021,124.6699982,26963100
6/5/2023,GOOGL,124.0100021,127.4300003,123.8399963,126.0100021,32305500
6/6/2023,GOOGL,126.0100021,128.2899933,125.3600006,127.3099976,26638300
6/7/2023,GOOGL,126.9700012,129.0399933,122.1200027,122.5,52539000
6/8/2023,GOOGL,122.2300034,123.2300034,121.2399979,122.1399994,29389200
6/9/2023,GOOGL,122.25,123.7600021,121.9100037,122.2300034,23762500
5/31/2023,MSFT,332.2900085,335.9400024,327.3299866,328.3900146,45950600
6/1/2023,MSFT,325.9299927,333.5299988,324.7200012,332.5799866,26773900
6/2/2023,MSFT,334.25,337.5,332.5499878,335.3999939,25864000
6/5/2023,MSFT,335.2200012,338.5599976,334.6600037,335.9400024,21307100
6/6/2023,MSFT,335.3299866,335.3699951,332.1700134,333.6799927,20396200
6/7/2023,MSFT,331.6499939,334.4899902,322.5,323.3800049,40717100
6/8/2023,MSFT,323.9400024,326.6400146,323.3500061,325.2600098,23277700
6/9/2023,MSFT,324.9899902,329.9899902,324.4100037,326.7900085,22514900
6/9/2023,AAPL,181.5,182.2299957,180.6300049,180.9600067,48870700
